,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
0,3HiFEoic67xzOhd1gBgDhg,Classical,0.263,0.00668,8,-31.999,0,0.0442,0.995,0.893,0.0947,0.055,69.197,212853,3,
1,3HiFEoic67xzOhd1gBgDhg,Classical,0.263,0.00668,8,-31.999,0,0.0442,0.995,0.893,0.0947,0.055,69.197,212853,3,
2,3HiFEoic67xzOhd1gBgDhg,Classical,0.263,0.00668,8,-31.999,0,0.0442,0.995,0.893,0.0947,0.055,69.197,212853,3,
3,3HiFEoic67xzOhd1gBgDhg,Classical,0.263,0.00668,8,-31.999,0,0.0442,0.995,0.893,0.0947,0.055,69.197,212853,3,
4,1QxMIioUmAxh7nlhdQuQvd,Classical,0.131,0.295,1,-14.984,0,0.0373,0.847,0.0259,0.125,0.0426,94.727,160968,3,https://p.scdn.co/mp3-preview/e8bb64944740497a0cefbc3ff000393d9c6895e2?cid=b1b7bb35faa34eac9690da4b561aa86f
5,0v80sWJ3dm75znzL0tFE3F,Classical,0.319,0.00923,3,-27.739,1,0.0729,0.995,0.808,0.0665,0.0349,67.974,215147,4,https://p.scdn.co/mp3-preview/455bbe4a6ba0c7708953d9c6259ac019683e70be?cid=b1b7bb35faa34eac9690da4b561aa86f
6,0v80sWJ3dm75znzL0tFE3F,Classical,0.319,0.00923,3,-27.739,1,0.0729,0.995,0.808,0.0665,0.0349,67.974,215147,4,https://p.scdn.co/mp3-preview/455bbe4a6ba0c7708953d9c6259ac019683e70be?cid=b1b7bb35faa34eac9690da4b561aa86f
7,0v80sWJ3dm75znzL0tFE3F,Classical,0.319,0.00923,3,-27.739,1,0.0729,0.995,0.808,0.0665,0.0349,67.974,215147,4,https://p.scdn.co/mp3-preview/455bbe4a6ba0c7708953d9c6259ac019683e70be?cid=b1b7bb35faa34eac9690da4b561aa86f
8,0v80sWJ3dm75znzL0tFE3F,Classical,0.319,0.00923,3,-27.739,1,0.0729,0.995,0.808,0.0665,0.0349,67.974,215147,4,https://p.scdn.co/mp3-preview/455bbe4a6ba0c7708953d9c6259ac019683e70be?cid=b1b7bb35faa34eac9690da4b561aa86f
9,1bab3chhaj7hG2WlJSJ8ei,Classical,0.272,0.094,9,-23.598,1,0.0486,0.951,0.162,0.0656,0.264,128.632,189933,4,https://p.scdn.co/mp3-preview/26f8e65b2d15d33c6ad7b9a7c9bb61381f026e83?cid=b1b7bb35faa34eac9690da4b561aa86f
10,14kuP1ZLPfsI2ARQjQna1I,Classical,0.365,0.00187,1,-28.623,1,0.0499,0.992,0.943,0.0871,0.0669,75.269,627013,4,https://p.scdn.co/mp3-preview/a4f788af9902ae5f91cd5eaa440d1930599c77d3?cid=b1b7bb35faa34eac9690da4b561aa86f
11,4iKDC45B59uK5wnbhT89xS,Classical,0.139,0.157,4,-23.703,0,0.0381,0.93,0.928,0.104,0.207,99.086,110667,4,https://p.scdn.co/mp3-preview/657b58b744f123bf8e6acff9dfba0bfbf737885c?cid=b1b7bb35faa34eac9690da4b561aa86f
12,3dVSbqD6xVMXfhrp7qkf9J,Classical,0.246,0.171,11,-16.687,0,0.0437,0.983,0.749,0.0939,0.161,93.336,255333,4,https://p.scdn.co/mp3-preview/18d1cbd19506832df2180c9e7e478bcfbde3b919?cid=b1b7bb35faa34eac9690da4b561aa86f
13,18laJGila9r4QnwnTA2Uhu,Classical,0.0997,0.0527,7,-21.418,1,0.0393,0.99,0.745,0.0735,0.0637,81.544,262787,4,https://p.scdn.co/mp3-preview/2c33e237f63bbb6f5a71f9bcfedca9c7d378c443?cid=b1b7bb35faa34eac9690da4b561aa86f
14,0eZ5iL9gq8eeXEeKXbL7Ej,Classical,0.0632,0.036,9,-31.784,0,0.0447,0.908,0.91,0.113,0.0393,65.766,396360,4,https://p.scdn.co/mp3-preview/24c6809ac6bd47fcfe13c63a5db7285740d495ae?cid=b1b7bb35faa34eac9690da4b561aa86f
15,7c0kU80oOXKI0LE9N348hF,Classical,0.48,0.311,7,-15.19,0,0.0383,0.941,0.00187,0.0803,0.627,97.36,365373,4,https://p.scdn.co/mp3-preview/49b98fc38c7f3f4ea743ae82c54b32740768a1ed?cid=b1b7bb35faa34eac9690da4b561aa86f
16,1NoP3VaGY7smwjtBwLbtn2,Classical,0.298,0.183,10,-20.368,1,0.0357,0.906,0.914,0.114,0.385,152.289,399787,3,
17,4nAG8YuKuK57WQhogwmAaq,Classical,0.276,0.0501,7,-25.02,1,0.0568,0.981,0.00379,0.114,0.0344,78.59,236693,4,https://p.scdn.co/mp3-preview/b7594e36a81de14a7d93bb6d17c3531b7f1f5b55?cid=b1b7bb35faa34eac9690da4b561aa86f
18,7FxpoOW5H6wqbhoNUA2sKg,Classical,0.362,0.0289,1,-33.082,1,0.0532,0.994,0.927,0.0892,0.0616,127.103,203773,4,
19,7FxpoOW5H6wqbhoNUA2sKg,Classical,0.362,0.0289,1,-33.082,1,0.0532,0.994,0.927,0.0892,0.0616,127.103,203773,4,
20,7FxpoOW5H6wqbhoNUA2sKg,Classical,0.362,0.0289,1,-33.082,1,0.0532,0.994,0.927,0.0892,0.0616,127.103,203773,4,
21,7FxpoOW5H6wqbhoNUA2sKg,Classical,0.362,0.0289,1,-33.082,1,0.0532,0.994,0.927,0.0892,0.0616,127.103,203773,4,
22,3sO9C3HoxCTIKnElUcHEJb,Classical,0.16,0.11,5,-19.044,0,0.0578,0.977,0.717,0.0829,0.0392,74.581,270280,4,
23,3nKEIwAbVwosIysVLkYgV3,Classical,0.0948,0.0149,2,-35.753,0,0.0442,0.731,0.0849,0.11,0.0721,87.07,246987,4,
24,0BqUxUG5os66JPI63nUeTY,Classical,0.22,0.065,3,-23.409,0,0.0471,0.986,0.93,0.107,0.0572,220.904,159000,3,https://p.scdn.co/mp3-preview/5ed0f77a2f40f04c9c3913a1071b3749314f79aa?cid=b1b7bb35faa34eac9690da4b561aa86f
25,0XiIramUhxvM2DXz4Zb87O,Classical,0.579,0.0845,5,-20.558,0,0.05,0.938,0.606,0.115,0.288,147.547,86000,4,https://p.scdn.co/mp3-preview/ea1ec22d49b318abb62fddd526683edeceec3724?cid=b1b7bb35faa34eac9690da4b561aa86f
26,78n2Vkohls3wgGkGklzYqc,Classical,0.273,0.0491,5,-25.095,1,0.0393,0.968,0.922,0.109,0.112,95.291,473307,4,https://p.scdn.co/mp3-preview/64d741fb9c2e46b8fbcd2cedfcd52b3cacba77cb?cid=b1b7bb35faa34eac9690da4b561aa86f
27,6IRTRc82hycdzyya5E8HB3,Classical,0.654,0.252,9,-16.369,1,0.0375,0.961,0.894,0.169,0.525,113.129,125947,4,https://p.scdn.co/mp3-preview/b9949fa2b9b0ca5724f55bcbe999d94a5a9a7ea7?cid=b1b7bb35faa34eac9690da4b561aa86f
28,37VKfWndWcgowcOQjnCwoj,Classical,0.335,0.0571,0,-25.661,1,0.0444,0.988,0.916,0.0893,0.159,110.969,382997,3,https://p.scdn.co/mp3-preview/46db5b8e749c12eed7048286097fa5342282444d?cid=b1b7bb35faa34eac9690da4b561aa86f
29,1nDdBcj0yWSr3MDZlIiSOF,Classical,0.157,0.0245,11,-23.56,0,0.0409,0.994,0.881,0.138,0.0373,65.166,224125,3,https://p.scdn.co/mp3-preview/e9a77608b17d0d1886242f1fe282c15d6b2a6e68?cid=b1b7bb35faa34eac9690da4b561aa86f
30,7wQVcfO4lJXTC3CS4xvqJE,Classical,0.348,0.0307,6,-25.368,0,0.0362,0.893,0.927,0.094,0.0501,110.743,197911,4,
31,6dbQkEShERsHMzXsh72kHw,Classical,0.619,0.82,0,-19.044,1,0.221,0.877,0.955,0.715,0.93,108.199,70227,1,
32,41Kgj6Wuncv2yRhE4HQArh,Classical,0.219,0.219,10,-18.769,0,0.0362,0.0309,0.854,0.0896,0.0466,129.834,282117,3,https://p.scdn.co/mp3-preview/caa1e51530cb95800e83628dc1daf2e652a1809c?cid=b1b7bb35faa34eac9690da4b561aa86f
33,4VZFMd8fQgpHXWB1az4cvG,Classical,0.362,0.373,5,-17.23,0,0.0399,0.84,0.683,0.191,0.216,115.322,394973,4,https://p.scdn.co/mp3-preview/59c48f6b0f872ecfe5b050ef79d1a54b3c5f1105?cid=b1b7bb35faa34eac9690da4b561aa86f
34,6nihzxn3akz5OX5zqfFrvE,Classical,0.151,0.069,0,-23.15,0,0.0413,0.639,0.541,0.0884,0.0609,137.601,209560,5,https://p.scdn.co/mp3-preview/91e8bd8436946289a911baf5c0df88a96892809a?cid=b1b7bb35faa34eac9690da4b561aa86f
35,4lSomloZhW3WTZtRShTgnM,Classical,0.194,0.0734,3,-25.044,0,0.0392,0.993,0.847,0.0969,0.156,168.162,174675,5,https://p.scdn.co/mp3-preview/e0ff342484d3a5b9a8f581ccea495a6bdae582d4?cid=b1b7bb35faa34eac9690da4b561aa86f
36,4ZjFsvk5cj5gNiqscxzw8A,Classical,0.341,0.0314,5,-26.721,1,0.0382,0.984,0.684,0.105,0.374,137.167,325400,3,https://p.scdn.co/mp3-preview/d95439fd3e05afd7879c62073eb0f41b0266ad86?cid=b1b7bb35faa34eac9690da4b561aa86f
37,20EbRpoBHXpiofYllZD3Hz,Classical,0.501,0.0346,0,-27.784,1,0.0372,0.991,0.918,0.102,0.0403,115.972,186207,4,
38,5zWzhXg9RVqhujfeRQogYH,Classical,0.462,0.177,4,-15.476,1,0.0382,0.584,0.437,0.0692,0.193,107.828,207394,4,https://p.scdn.co/mp3-preview/b0225ad531cde23e20d7725b1c79a2532a7d2dc6?cid=b1b7bb35faa34eac9690da4b561aa86f
39,7fuoJSNLF8xDFfAvLNS5Z9,Classical,0.147,0.0616,6,-22.948,0,0.0528,0.899,0.00132,0.238,0.0398,76.943,217347,4,https://p.scdn.co/mp3-preview/67757a8271cb00fb60b2508248fbff2bd57fb87c?cid=b1b7bb35faa34eac9690da4b561aa86f
40,7ANegYLKWDV8x0UCuErL35,Classical,0.712,0.0515,9,-24.89,1,0.0745,0.992,0.965,0.0914,0.124,122.02,133805,3,
41,5yF71NH2YGV3UiSKueUDDW,Classical,0.451,0.0228,9,-26.052,0,0.0477,0.981,0.533,0.104,0.0342,105.136,179187,3,https://p.scdn.co/mp3-preview/0fc1afd2b86a5384abfce5e14fde36282a56e970?cid=b1b7bb35faa34eac9690da4b561aa86f
42,7tQMppL13xgkcugy6Grveo,Classical,0.449,0.413,2,-18.937,0,0.103,0.634,0.453,0.106,0.249,110.407,195315,4,https://p.scdn.co/mp3-preview/23b85723c1205e22d41e1bca99f2ffea218465d4?cid=b1b7bb35faa34eac9690da4b561aa86f
43,41WGpU3iKXoQbc2AmG4liU,Classical,0.425,0.175,0,-20.075,1,0.0317,0.759,0.718,0.0939,0.569,135.282,424120,4,https://p.scdn.co/mp3-preview/2369a356063006879ea5e970489e902c7502a4f9?cid=b1b7bb35faa34eac9690da4b561aa86f
44,7mgoKqD2MoEsrfa9shQNvc,Classical,0.352,0.0205,8,-27.402,1,0.0434,0.993,0.905,0.0952,0.0364,130.561,408773,3,https://p.scdn.co/mp3-preview/7e978e6c0f23f88e99780fefef5e3fe858101772?cid=b1b7bb35faa34eac9690da4b561aa86f
