,Unnamed: 0,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
4,4,1QxMIioUmAxh7nlhdQuQvd,Classical,0.131,0.295,1,-14.984,0,0.0373,0.847,0.0259,0.125,0.0426,94.727,160968,3,https://p.scdn.co/mp3-preview/e8bb64944740497a0cefbc3ff000393d9c6895e2?cid=b1b7bb35faa34eac9690da4b561aa86f
5,5,0v80sWJ3dm75znzL0tFE3F,Classical,0.319,0.00923,3,-27.739,1,0.0729,0.995,0.808,0.0665,0.0349,67.974,215147,4,https://p.scdn.co/mp3-preview/455bbe4a6ba0c7708953d9c6259ac019683e70be?cid=b1b7bb35faa34eac9690da4b561aa86f
9,9,1bab3chhaj7hG2WlJSJ8ei,Classical,0.272,0.094,9,-23.598,1,0.0486,0.951,0.162,0.0656,0.264,128.632,189933,4,https://p.scdn.co/mp3-preview/26f8e65b2d15d33c6ad7b9a7c9bb61381f026e83?cid=b1b7bb35faa34eac9690da4b561aa86f
10,10,14kuP1ZLPfsI2ARQjQna1I,Classical,0.365,0.00187,1,-28.623,1,0.0499,0.992,0.943,0.0871,0.0669,75.269,627013,4,https://p.scdn.co/mp3-preview/a4f788af9902ae5f91cd5eaa440d1930599c77d3?cid=b1b7bb35faa34eac9690da4b561aa86f
11,11,4iKDC45B59uK5wnbhT89xS,Classical,0.139,0.157,4,-23.703,0,0.0381,0.93,0.928,0.104,0.207,99.086,110667,4,https://p.scdn.co/mp3-preview/657b58b744f123bf8e6acff9dfba0bfbf737885c?cid=b1b7bb35faa34eac9690da4b561aa86f
12,12,3dVSbqD6xVMXfhrp7qkf9J,Classical,0.246,0.171,11,-16.687,0,0.0437,0.983,0.749,0.0939,0.161,93.336,255333,4,https://p.scdn.co/mp3-preview/18d1cbd19506832df2180c9e7e478bcfbde3b919?cid=b1b7bb35faa34eac9690da4b561aa86f
13,13,18laJGila9r4QnwnTA2Uhu,Classical,0.0997,0.0527,7,-21.418,1,0.0393,0.99,0.745,0.0735,0.0637,81.544,262787,4,https://p.scdn.co/mp3-preview/2c33e237f63bbb6f5a71f9bcfedca9c7d378c443?cid=b1b7bb35faa34eac9690da4b561aa86f
14,14,0eZ5iL9gq8eeXEeKXbL7Ej,Classical,0.0632,0.036,9,-31.784,0,0.0447,0.908,0.91,0.113,0.0393,65.766,396360,4,https://p.scdn.co/mp3-preview/24c6809ac6bd47fcfe13c63a5db7285740d495ae?cid=b1b7bb35faa34eac9690da4b561aa86f
15,15,7c0kU80oOXKI0LE9N348hF,Classical,0.48,0.311,7,-15.19,0,0.0383,0.941,0.00187,0.0803,0.627,97.36,365373,4,https://p.scdn.co/mp3-preview/49b98fc38c7f3f4ea743ae82c54b32740768a1ed?cid=b1b7bb35faa34eac9690da4b561aa86f
17,17,4nAG8YuKuK57WQhogwmAaq,Classical,0.276,0.0501,7,-25.02,1,0.0568,0.981,0.00379,0.114,0.0344,78.59,236693,4,https://p.scdn.co/mp3-preview/b7594e36a81de14a7d93bb6d17c3531b7f1f5b55?cid=b1b7bb35faa34eac9690da4b561aa86f
