id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url,mfcc_1Mean,mfcc_2Mean,mfcc_3Mean,mfcc_4Mean,mfcc_5Mean,mfcc_6Mean,mfcc_7Mean,mfcc_8Mean,mfcc_9Mean,mfcc_10Mean,mfcc_11Mean,mfcc_12Mean,mfcc_13Mean,chroma_1Mean,chroma_2Mean,chroma_3Mean,chroma_4Mean,chroma_5Mean,chroma_6Mean,chroma_7Mean,chroma_8Mean,chroma_9Mean,chroma_10Mean,chroma_11Mean,chroma_12Mean
3HiFEoic67xzOhd1gBgDhg,Classical,0.263,0.00668,8,-31.999,0,0.0442,0.995,0.893,0.0947,0.055,69.197,212853,3,https://p.scdn.co/mp3-preview/29adf28c40ff86d13a934fc75e273b928a4c2606?cid=5fe60eee742d40ef853bb1ae66209140,-377.5197,202.94276,9.953585,14.285817,23.400333,-15.840967,-26.111141,-17.622456,-15.773397,-15.793325,-11.706091,-9.161919,-10.328534,0.24277322,0.3032706,0.22041194,0.43616748,0.31658125,0.100856006,0.17805333,0.16955242,0.44075674,0.29493752,0.10869472,0.1883573
1QxMIioUmAxh7nlhdQuQvd,Classical,0.131,0.295,1,-14.984,0,0.0373,0.847,0.0259,0.125,0.0426,94.727,160968,3,https://p.scdn.co/mp3-preview/e8bb64944740497a0cefbc3ff000393d9c6895e2?cid=5fe60eee742d40ef853bb1ae66209140,-138.10738,131.02531,-10.57496,25.932775,-5.086487,4.950814,-5.8572087,-6.147069,-7.6293497,-0.8494158,-4.361165,0.7817046,-5.2678833,0.28193027,0.42187005,0.15698954,0.3255758,0.42138076,0.1823571,0.20534198,0.18082449,0.46331248,0.23856378,0.114995874,0.17389846
0v80sWJ3dm75znzL0tFE3F,Classical,0.319,0.00923,3,-27.739,1,0.0729,0.995,0.808,0.0665,0.0349,67.974,215147,4,https://p.scdn.co/mp3-preview/455bbe4a6ba0c7708953d9c6259ac019683e70be?cid=5fe60eee742d40ef853bb1ae66209140,-379.44308,187.98785,27.215937,-6.2006764,0.014517021,-6.3273783,-9.917211,-12.037836,-11.0323,-7.2353134,-5.4275985,-4.9898434,-4.617322,0.12893024,0.1816525,0.37722635,0.28587574,0.23500459,0.21068554,0.16659224,0.2037532,0.23453824,0.22664702,0.38665682,0.13141891
1bab3chhaj7hG2WlJSJ8ei,Classical,0.272,0.094,9,-23.598,1,0.0486,0.951,0.162,0.0656,0.264,128.632,189933,4,https://p.scdn.co/mp3-preview/26f8e65b2d15d33c6ad7b9a7c9bb61381f026e83?cid=5fe60eee742d40ef853bb1ae66209140,-343.9043,106.213524,-14.76317,31.484272,-7.594774,-6.195896,-4.2523527,-0.6242515,-8.807159,-4.4320173,-10.414484,0.31478912,6.2128243,0.13885912,0.3842842,0.20382765,0.12617531,0.20318487,0.11455269,0.22039434,0.101885475,0.26208612,0.28112024,0.14570594,0.25840273
14kuP1ZLPfsI2ARQjQna1I,Classical,0.365,0.00187,1,-28.623,1,0.0499,0.992,0.943,0.0871,0.0669,75.269,627013,4,https://p.scdn.co/mp3-preview/a4f788af9902ae5f91cd5eaa440d1930599c77d3?cid=5fe60eee742d40ef853bb1ae66209140,-545.8136,149.64165,67.969986,20.44248,6.6034164,0.3922243,-3.5807858,-4.8550267,-4.7791696,-2.1835093,1.3537092,2.1744015,0.6911012,0.45049983,0.43129468,0.21064694,0.25033042,0.17722063,0.26435554,0.20376587,0.13567416,0.23605111,0.14250955,0.20403378,0.15539584
4iKDC45B59uK5wnbhT89xS,Classical,0.139,0.157,4,-23.703,0,0.0381,0.93,0.928,0.104,0.207,99.086,110667,4,https://p.scdn.co/mp3-preview/657b58b744f123bf8e6acff9dfba0bfbf737885c?cid=5fe60eee742d40ef853bb1ae66209140,-312.3624,207.62039,1.4791985,15.406059,-0.8754536,-1.56703,-4.726735,-10.903177,-7.1062303,-7.7994866,-6.7210097,-12.018623,-13.410629,0.21604273,0.15536335,0.26800475,0.29762712,0.3818602,0.20662872,0.4401075,0.37878883,0.26145068,0.3458878,0.26807705,0.24979651
3dVSbqD6xVMXfhrp7qkf9J,Classical,0.246,0.171,11,-16.687,0,0.0437,0.983,0.749,0.0939,0.161,93.336,255333,4,https://p.scdn.co/mp3-preview/18d1cbd19506832df2180c9e7e478bcfbde3b919?cid=5fe60eee742d40ef853bb1ae66209140,-236.5148,101.197464,-16.082203,15.572859,-4.049694,-6.359776,-22.457418,-3.9577136,-15.8832245,-3.5848815,-14.118733,-7.727227,-4.1726074,0.12574458,0.27938122,0.15978245,0.08723682,0.10952399,0.17052762,0.47516713,0.17381921,0.2648277,0.2702918,0.1333156,0.2500221
18laJGila9r4QnwnTA2Uhu,Classical,0.0997,0.0527,7,-21.418,1,0.0393,0.99,0.745,0.0735,0.0637,81.544,262787,4,https://p.scdn.co/mp3-preview/2c33e237f63bbb6f5a71f9bcfedca9c7d378c443?cid=5fe60eee742d40ef853bb1ae66209140,-313.84976,182.07523,11.80766,8.744353,-6.1393294,-16.296787,2.7171292,-15.142064,-19.508326,-11.9763,-16.775635,-10.415384,-9.266298,0.29408932,0.21985376,0.6126737,0.2261666,0.14445601,0.07646118,0.16689306,0.3710066,0.19144516,0.30609038,0.15515172,0.28493172
0eZ5iL9gq8eeXEeKXbL7Ej,Classical,0.0632,0.036,9,-31.784,0,0.0447,0.908,0.91,0.113,0.0393,65.766,396360,4,https://p.scdn.co/mp3-preview/24c6809ac6bd47fcfe13c63a5db7285740d495ae?cid=5fe60eee742d40ef853bb1ae66209140,-359.15085,164.89395,-23.785572,18.775372,-7.2829223,5.8798027,-10.308304,-5.3190107,-9.788041,-1.5934021,-4.58453,2.6158917,-3.924263,0.23362012,0.16045916,0.5375761,0.18651359,0.26875433,0.3240156,0.17597955,0.18915096,0.17379251,0.238586,0.1426069,0.39086604
7c0kU80oOXKI0LE9N348hF,Classical,0.48,0.311,7,-15.19,0,0.0383,0.941,0.00187,0.0803,0.627,97.36,365373,4,https://p.scdn.co/mp3-preview/49b98fc38c7f3f4ea743ae82c54b32740768a1ed?cid=5fe60eee742d40ef853bb1ae66209140,-166.84799,115.69114,-15.964482,26.280643,-11.136258,-6.291341,-18.698269,-2.1307309,-10.566305,-4.9729834,-14.08663,-8.657592,-8.476748,0.22817712,0.24706373,0.466057,0.20770712,0.12682538,0.16141406,0.244446,0.2996469,0.14818022,0.32645637,0.29779658,0.19995335
