Genre,Playlist URL
Pop,https://open.spotify.com/playlist/37i9dQZF1DXarRysLJmuju?si=82a4d720c2834f4c
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DX48TTZL62Yht?si=04a2f3323e2e4336
Country,https://open.spotify.com/playlist/37i9dQZF1DX8S0uQvJ4gaa?si=fb6b0507eef0430a
RnB,https://open.spotify.com/playlist/37i9dQZF1DX7FY5ma9162x?si=017ed625d0fe403c
Metal,https://open.spotify.com/playlist/1yMlpNGEpIVUIilZlrbdS0?si=f75a9bcccf954640
Classical,https://open.spotify.com/playlist/37i9dQZF1DWV0gynK7G6pD?si=724bc612baf24d56
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DXb9tg3GqJkNv?si=acb6373dfabb41f0
Pop,https://open.spotify.com/playlist/37i9dQZF1DXcOFePJj4Rgb?si=62f6eb1171894db2
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DWY6tYEFs22tT?si=107527ddde3b4d94
Pop,https://open.spotify.com/playlist/37i9dQZF1DX4UZCW3u80le?si=ab247bc30e104e40
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DX9oh43oAzkyx?si=08cad6b7b8994f33
Pop,https://open.spotify.com/playlist/3FeewjLi5LMzIpV4h35QEz?si=323978da5c084c9a
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DWT5MrZnPU1zD?si=bfb7cfe093ff40b4
Pop,https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DX6PKX5dyBKeq?si=248af93efcf24db9
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd?si=8c9e655811584045
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1DX76t638V6CA8?si=94152ee0974e49cb
Pop,https://open.spotify.com/playlist/36jMjt77enSYMSr4uoYe9J?si=1ed1ce964eff4fe5
Hip-Hop,https://open.spotify.com/playlist/37i9dQZF1EIhpG2qPPV1Lr?si=61d93e143960414a&nd=1&dlsi=1ea4a033f6f34051
Pop,https://open.spotify.com/playlist/5jmnLc4tTk8Wbig6TP17p1?si=52335577a3cc4a33
RnB,https://open.spotify.com/playlist/37i9dQZF1DWUMv098gRPM7?si=929ea01b461e426c
Country,https://open.spotify.com/playlist/37i9dQZF1DXe6yev4qlxCV?si=1c1e8cd8a1ac4409
RnB,https://open.spotify.com/playlist/37i9dQZF1DX2UgsUIg75Vg?si=d2f01324d94f4897
Country,https://open.spotify.com/playlist/37i9dQZF1DWSK8os4XIQBk?si=a2720f925e7948c2
Country,https://open.spotify.com/playlist/37i9dQZF1DWYV2Gh2QglGo?si=12316e930fc346e2
Country,https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR?si=e4beeba0f32d4ac9
Country,https://open.spotify.com/playlist/37i9dQZF1DWVn8zvR5ROMB?si=ca549fefa25c4224
RnB,https://open.spotify.com/playlist/2T3BSpqN34Z4sppHDNWoeE?si=4d9794a27aab4b3c
RnB,https://open.spotify.com/playlist/5zCdhPJHI9kgYsgkSBEWT0?si=cb7631eabef84bd5
RnB,https://open.spotify.com/playlist/3a9yodm1vqcU6JULLBeZeA?si=e0e810af26f4489f
Country,https://open.spotify.com/playlist/37i9dQZF1DWYUfsq4hxHWP?si=5667e19dfd72459b
Country,https://open.spotify.com/playlist/37i9dQZF1EQmPV0vrce2QZ?si=29d384b79219402c
